Model,Architecture,Acc (%),Energy (J),Acc/Joule
Struct Pruned 60%,Custom CNN,78.3,558.2913,0.14024936444469044
Pruned 20%,Custom CNN,87.03,631.8095,0.1377472165265005
Pruned 60%,Custom CNN,86.55,629.6221,0.13746340860652762
QISA Optimized,Custom CNN,86.35,635.5129,0.13587450388497227
Pruned 40%,Custom CNN,86.89,653.9246,0.13287464640418786
QIGA Optimized,Custom CNN,86.51,652.4791,0.13258662231479906
Pruned 80%,Custom CNN,84.86,641.3683,0.13231087348719917
Struct Pruned 40%,Custom CNN,83.72,640.6191,0.13068608163571768
Baseline (FP32),Custom CNN,84.15,652.459,0.12897362133099552
Struct Pruned 20%,Custom CNN,86.11,717.7481,0.119972452730979
Pruned 40% + Stat Quant,Custom CNN,87.12,1156.6978,0.07531785743864994
Static Quantized INT8,Custom CNN,84.52,1128.7985,0.07487607398486089
Pruned 60% + Stat Quant,Custom CNN,86.57,1179.5057,0.07339515188438682
VGG16 Pruned 40%,VGG-16,88.14,1208.5037,0.07293316520255586
Pruned 20% + Stat Quant,Custom CNN,86.89,1191.6231,0.07291735113224979
VGG16 QIGA,VGG-16,87.04,1233.7176,0.07055099157213937
VGG16 Pruned 60%,VGG-16,88.13,1255.6602,0.0701861857212644
VGG16 Pruned 20%,VGG-16,88.02,1254.6489,0.07015508482094074
VGG16 QISA,VGG-16,86.61,1243.4762,0.06965151403782396
VGG16 Baseline,VGG-16,86.74,1278.7778,0.06783039242626826
Pruned 20% + Dyn Quant,Custom CNN,86.94,2205.5896,0.03941803135089139
Pruned 40% + Dyn Quant,Custom CNN,86.82,2212.0446,0.03924875655762094
Pruned 60% + Dyn Quant,Custom CNN,86.53,2229.0677,0.03881891967659842
RN18 Baseline,ResNet-18,94.12,2452.9949,0.03836942343418651
RN18 QIGA,ResNet-18,93.97,2468.1614,0.038072874812806
RN18 Pruned 20%,ResNet-18,94.15,2556.8185,0.03682310652868008
RN18 Pruned 60%,ResNet-18,94.1,2565.2513,0.03668256595367479
RN18 Pruned 40%,ResNet-18,94.28,2605.6931,0.036182311723510344
Dynamic Quantized INT8,Custom CNN,84.13,2373.2997,0.03544853606141694
RN18 QISA,ResNet-18,94.16,2660.2509,0.035395157652234985
VGG16 Dyn Quant,VGG-16,86.73,8374.6941,0.010356199159560944
RN18 Dyn Quant,ResNet-18,94.1,14970.7047,0.00628560925391842
